id,rest_name,address,kakao_url,star,star_num,image,distance
152,롬브 노원,서울특별시 노원구 공릉동 395-4 에덴빌,https://place.map.kakao.com/631189533,0,0,//t1.kakaocdn.net/mystore/4380943CB40C43919066B7F6E83B5E30,15
153,씬머이,서울특별시 노원구 공릉동 683-25 ,https://place.map.kakao.com/1714903264,4.5,12,//t1.daumcdn.net/localfiy/7229D322A3A84F85AA2F79015CF60BB2,30
154,샐러디 태릉입구역점,서울특별시 노원구 공릉동 683-14 ,https://place.map.kakao.com/295607504,4.3,9,//t1.daumcdn.net/localfiy/searchregister_1843134922,31
155,롯데리아 공릉역점,서울특별시 노원구 공릉동 388-3번지 1층 ,https://place.map.kakao.com/12719942,2,14,,14
156,왔따쪽갈비 공릉점,서울특별시 노원구 공릉동 395-16 ,https://place.map.kakao.com/1170639399,0,0,,15
157,엄마손식당,서울특별시 노원구 공릉동 517-28,https://place.map.kakao.com/16706961,0,0,,19
158,공릉동떡볶이&롤초밥,서울특별시 노원구 공릉동 517-28 ,https://place.map.kakao.com/1124606974,0,0,//t1.daumcdn.net/place/357B089CF38F44B2A7497C747FD3A08F,19
159,강원한방오리옻닭,서울특별시 노원구 공릉동 567-5,https://place.map.kakao.com/16085792,0,0,,50
160,부여국밥,서울특별시 노원구 공릉동 567-5 ,https://place.map.kakao.com/365644539,0,0,,22
161,태백숯불갈비,서울특별시 노원구 공릉동 567-5번지 1층 ,https://place.map.kakao.com/21361521,0,0,//t1.daumcdn.net/place/498D4667BB9F4D379C271A3A2AAFC989,21
162,한근숯불닭갈비,서울특별시 노원구 공릉동 393-1 ,https://place.map.kakao.com/1471021785,3.9,11,//t1.daumcdn.net/localfiy/39B4845AC521498E96BFE6333A46C142,14
163,서오릉피자 공릉점,서울특별시 노원구 공릉동 393-1 ,https://place.map.kakao.com/1591277646,5,2,//t1.daumcdn.net/place/B2BCD1CEAA28489DB989B1F2E60C7490,14
